=== ПОЛНЫЙ СПИСОК ВСЕХ ЛОКАЦИЙ ПУТЕВОДИТЕЛЯ ===

Всего найдено: 1333 локаций.

Формат: [ГОРОД] | [КАТЕГОРИЯ] | [НАЗВАНИЕ] | [ID] | [ПУТЬ К ФОТО]
--------------------------------------------------------------------------------
ALL             | other           | Ласточкино гнездо                        | swallows-nest                  | /assets/guide/crimea/swallows-nest.jpg
ALL             | other           | Ливадийский дворец                       | livadia-palace                 | /assets/guide/crimea/livadia-palace.jpg
ALL             | other           | Воронцовский дворец                      | vorontsov-palace               | /assets/guide/crimea/vorontsov-palace.jpg
ALL             | other           | Ай-Петри                                 | ai-petri                       | /assets/guide/crimea/ai-petri.jpg
ALL             | other           | Никитский ботанический сад               | nikitsky-garden                | /assets/guide/crimea/nikitsky-garden.jpg
ALL             | other           | Дача А.П. Чехова                         | chekhov-dacha                  | /assets/guide/gurzuf/chekhov_museum.png
ALL             | other           | Херсонес Таврический                     | chersonesus                    | /assets/guide/sevastopol/chersonesus_taurica_sevastopol.webp
ALL             | other           | Музей подводных лодок                    | balaklava-base                 | /assets/guide/balaklava/maxres.webp
ALL             | other           | Генуэзская крепость                      | sudak-fortress                 | /assets/guide/sudak/sudak.webp
ALL             | other           | Тропа Голицына                           | golitsyn-trail                 | /assets/guide/sudak/noviy-svet.webp
ALL             | other           | Парк «Дримвуд»                           | dreamwood-park                 | /assets/guide/kids/Drimwood.webp
ALL             | other           | Парк львов «Тайган»                      | taigan-safari                  | НЕТ ФОТО
ALL             | other           | Аквапарк «Атлантида»                     | atlantida-waterpark            | /assets/guide/yalta/Aquapark.jpg
ALL             | other           | Кафе «Сомелье»                           | sommelier-gurzuf               | /assets/guide/gurzuf/cafe-somelie.webp
ALL             | other           | Ресторан «Венеция»                       | venice-gurzuf                  | /assets/guide/gurzuf/venezia_cafe.png
ALL             | other           | Супермаркет «ПУД»                        | pud-gurzuf                     | /assets/guide/gurzuf/pud.webp
ALL             | other           | Набережная Ялты                          | yalta-embankment               | /assets/guide/yalta/yalta.jpg
ALL             | other           | Белая Дача (Дом Чехова)                  | white-dacha-yalta              | /assets/guide/yalta/dacha.jpg
ALL             | other           | Пляж Массандра                           | massandra-beach                | /assets/guide/yalta/Masandra.webp
ALL             | other           | Панорама «Оборона Севастополя»           | sevastopol-panorama            | /assets/guide/sevastopol/panorama-oborona-sevastopolya.webp
ALL             | history         | Малахов курган                           | malakhov-kurgan                | /assets/guide/sevastopol/MalahovKurgan.jpg
ALL             | other           | Центральный пляж Гурзуфа                 | gurzuf-central-beach           | /assets/guide/gurzuf/gurzuf-central-beach.png
ALL             | other           | Магазин «Смакмаркет»                     | smakmarket-gurzuf              | /assets/guide/gurzuf/SmakMarket.webp
ALL             | other           | Гурзуфский рынок                         | market-gurzuf                  | /assets/guide/gurzuf/Bazar.webp
